type,start_point,end_point,hex_code,d_code
gap,00401110,00401111,['53'],"['None', 'None', 'None', 'None', '__gnu_exception_handler@4 proc near  ', 'None', 'var_2C = dword ptr -2Ch ', 'var_28 = dword ptr -28h ', 'var_10 = dword ptr -10h ', 'ExceptionInfo = dword ptr 4 ', 'None', 'None', 'push ebx ']"
entry,00401111,00401114,"['83', 'EC', '28']","['sub esp, 28h ']"
entry,00401114,00401118,"['8B', '44', '24', '30']","['mov eax, [esp+2Ch+ExceptionInfo] ']"
entry,00401118,0040111A,"['8B', '00']","['mov eax, [eax] ']"
entry,0040111A,0040111C,"['8B', '00']","['mov eax, [eax] ']"
entry,0040111C,00401121,"['3D', '91', '00', '00', 'C0']","['cmp eax, 0C0000091h ']"
entry,00401121,00401123,"['77', '3D']",['ja short loc_401160 ']
entry,00401123,00401128,"['3D', '8D', '00', '00', 'C0']","['cmp eax, 0C000008Dh ']"
entry,00401128,0040112A,"['72', '4D']",['jb short loc_401177 ']
gap,0040112A,0040112F,"['BB', '01', '00', '00', '00']","['None', 'loc_40112A:  ', 'mov ebx, 1 ']"
gap,0040112F,00401137,"['C7', '44', '24', '04', '00', '00', '00', '00']","['None', 'loc_40112F:  ', 'mov [esp+2Ch+var_28], 0  ']"
entry,00401137,0040113E,"['C7', '04', '24', '08', '00', '00', '00']","['mov [esp+2Ch+var_2C], 8  ']"
entry,0040113E,00401143,"['E8', 'B1', 'CF', '00', '00']",['call _signal ']
entry,00401143,00401146,"['83', 'F8', '01']","['cmp eax, 1 ']"
entry,00401146,0040114C,"['0F', '84', 'F4', '00', '00', '00']",['jz loc_401240 ']
entry,0040114C,0040114E,"['85', 'C0']","['test eax, eax ']"
entry,0040114E,00401154,"['0F', '85', 'A0', '00', '00', '00']",['jnz loc_4011F4 ']
gap,00401154,00401156,"['31', 'C0']","['None', 'loc_401154:  ', 'None', 'xor eax, eax ']"
gap,00401156,00401159,"['83', 'C4', '28']","['None', 'loc_401156:  ', 'None', 'add esp, 28h ']"
entry,00401159,0040115A,['5B'],['pop ebx ']
entry,0040115A,0040115D,"['C2', '04', '00']","['retn 4 ', 'None']"
entry,0040115D,00401160,"['8D', '76', '00']",['align 10h ']
gap,00401160,00401165,"['3D', '94', '00', '00', 'C0']","['None', 'loc_401160:  ', 'cmp eax, 0C0000094h ']"
entry,00401165,00401167,"['74', '4B']",['jz short loc_4011B2 ']
entry,00401167,0040116C,"['3D', '96', '00', '00', 'C0']","['cmp eax, 0C0000096h ']"
entry,0040116C,0040116E,"['74', '17']",['jz short loc_401185 ']
entry,0040116E,00401173,"['3D', '93', '00', '00', 'C0']","['cmp eax, 0C0000093h ']"
entry,00401173,00401175,"['75', 'DF']",['jnz short loc_401154 ']
entry,00401175,00401177,"['EB', 'B3']",['jmp short loc_40112A ']
gap,00401177,0040117C,"['3D', '05', '00', '00', 'C0']","['None', 'None', 'loc_401177:  ', 'cmp eax, 0C0000005h ']"
entry,0040117C,0040117E,"['74', '42']",['jz short loc_4011C0 ']
entry,0040117E,00401183,"['3D', '1D', '00', '00', 'C0']","['cmp eax, 0C000001Dh ']"
entry,00401183,00401185,"['75', 'CF']",['jnz short loc_401154 ']
gap,00401185,0040118D,"['C7', '44', '24', '04', '00', '00', '00', '00']","['None', 'loc_401185:  ', 'mov [esp+2Ch+var_28], 0  ']"
entry,0040118D,00401194,"['C7', '04', '24', '04', '00', '00', '00']","['mov [esp+2Ch+var_2C], 4  ']"
entry,00401194,00401199,"['E8', '5B', 'CF', '00', '00']",['call _signal ']
entry,00401199,0040119C,"['83', 'F8', '01']","['cmp eax, 1 ']"
entry,0040119C,0040119E,"['74', '69']",['jz short loc_401207 ']
entry,0040119E,004011A0,"['85', 'C0']","['test eax, eax ']"
entry,004011A0,004011A2,"['74', 'B2']",['jz short loc_401154 ']
entry,004011A2,004011A9,"['C7', '04', '24', '04', '00', '00', '00']","['mov [esp+2Ch+var_2C], 4 ']"
entry,004011A9,004011AB,"['FF', 'D0']",['call eax ']
entry,004011AB,004011B0,"['B8', 'FF', 'FF', 'FF', 'FF']","['mov eax, 0FFFFFFFFh ']"
entry,004011B0,004011B2,"['EB', 'A4']",['jmp short loc_401156 ']
gap,004011B2,004011B4,"['31', 'DB']","['None', 'None', 'loc_4011B2:  ', 'xor ebx, ebx ']"
entry,004011B4,004011B9,"['E9', '76', 'FF', 'FF', 'FF']","['jmp loc_40112F ', 'None']"
entry,004011B9,004011C0,"['8D', 'B4', '26', '00', '00', '00', '00']",['align 10h ']
gap,004011C0,004011C8,"['C7', '44', '24', '04', '00', '00', '00', '00']","['None', 'loc_4011C0:  ', 'mov [esp+2Ch+var_28], 0  ']"
entry,004011C8,004011CF,"['C7', '04', '24', '0B', '00', '00', '00']","['mov [esp+2Ch+var_2C], 0Bh  ']"
entry,004011CF,004011D4,"['E8', '20', 'CF', '00', '00']",['call _signal ']
entry,004011D4,004011D7,"['83', 'F8', '01']","['cmp eax, 1 ']"
entry,004011D7,004011D9,"['74', '4A']",['jz short loc_401223 ']
entry,004011D9,004011DB,"['85', 'C0']","['test eax, eax ']"
entry,004011DB,004011E1,"['0F', '84', '73', 'FF', 'FF', 'FF']",['jz loc_401154 ']
entry,004011E1,004011E8,"['C7', '04', '24', '0B', '00', '00', '00']","['mov [esp+2Ch+var_2C], 0Bh ']"
entry,004011E8,004011EA,"['FF', 'D0']",['call eax ']
entry,004011EA,004011EF,"['B8', 'FF', 'FF', 'FF', 'FF']","['mov eax, 0FFFFFFFFh ']"
entry,004011EF,004011F4,"['E9', '62', 'FF', 'FF', 'FF']",['jmp loc_401156 ']
gap,004011F4,004011FB,"['C7', '04', '24', '08', '00', '00', '00']","['None', 'None', 'loc_4011F4:  ', 'mov [esp+2Ch+var_2C], 8 ']"
entry,004011FB,004011FD,"['FF', 'D0']",['call eax ']
entry,004011FD,00401202,"['B8', 'FF', 'FF', 'FF', 'FF']","['mov eax, 0FFFFFFFFh ']"
entry,00401202,00401207,"['E9', '4F', 'FF', 'FF', 'FF']",['jmp loc_401156 ']
gap,00401207,0040120F,"['C7', '44', '24', '04', '01', '00', '00', '00']","['None', 'None', 'loc_401207:  ', 'mov [esp+2Ch+var_28], 1  ']"
entry,0040120F,00401216,"['C7', '04', '24', '04', '00', '00', '00']","['mov [esp+2Ch+var_2C], 4  ']"
entry,00401216,0040121B,"['E8', 'D9', 'CE', '00', '00']",['call _signal ']
entry,0040121B,0040121E,"['83', 'C8', 'FF']","['or eax, 0FFFFFFFFh ']"
entry,0040121E,00401223,"['E9', '33', 'FF', 'FF', 'FF']",['jmp loc_401156 ']
gap,00401223,0040122B,"['C7', '44', '24', '04', '01', '00', '00', '00']","['None', 'None', 'loc_401223:  ', 'mov [esp+2Ch+var_28], 1  ']"
entry,0040122B,00401232,"['C7', '04', '24', '0B', '00', '00', '00']","['mov [esp+2Ch+var_2C], 0Bh  ']"
entry,00401232,00401237,"['E8', 'BD', 'CE', '00', '00']",['call _signal ']
entry,00401237,0040123A,"['83', 'C8', 'FF']","['or eax, 0FFFFFFFFh ']"
entry,0040123A,0040123F,"['E9', '17', 'FF', 'FF', 'FF']","['jmp loc_401156 ', 'None']"
entry,0040123F,00401240,['90'],['align 10h ']
gap,00401240,00401248,"['C7', '44', '24', '04', '01', '00', '00', '00']","['None', 'loc_401240:  ', 'mov [esp+2Ch+var_28], 1  ']"
entry,00401248,0040124F,"['C7', '04', '24', '08', '00', '00', '00']","['mov [esp+2Ch+var_2C], 8  ']"
entry,0040124F,00401254,"['E8', 'A0', 'CE', '00', '00']",['call _signal ']
entry,00401254,00401256,"['85', 'DB']","['test ebx, ebx ']"
entry,00401256,0040125B,"['B8', 'FF', 'FF', 'FF', 'FF']","['mov eax, 0FFFFFFFFh ']"
entry,0040125B,00401261,"['0F', '84', 'F5', 'FE', 'FF', 'FF']",['jz loc_401156 ']
entry,00401261,00401265,"['89', '44', '24', '1C']","['mov [esp+2Ch+var_10], eax ']"
entry,00401265,0040126A,"['E8', '26', 'B7', '00', '00']",['call _fpreset ']
entry,0040126A,0040126E,"['8B', '44', '24', '1C']","['mov eax, [esp+2Ch+var_10] ']"
entry,0040126E,00401273,"['E9', 'E3', 'FE', 'FF', 'FF']","['jmp loc_401156 ', 'None', '__gnu_exception_handler@4 endp ', 'None', 'None']"
entry,00401273,00401280,"['8D', 'B6', '00', '00', '00', '00', '8D', 'BC', '27', '00', '00', '00', '00']",['align 10h ']
gap,00401280,00401295,"['83', 'EC', '1C', 'C7', '04', '24', '01', '00', '00', '00', 'FF', '15', 'D0', 'D1', '41', '00', 'E8', '6B', 'FD', 'FF', 'FF']",['None']
entry,00401295,004012A0,"['8D', '74', '26', '00', '8D', 'BC', '27', '00', '00', '00', '00']",['align 10h ']
gap,004012A0,004012A3,"['83', 'EC', '1C']","['None', 'None', 'None', 'None', 'None', 'public _WinMainCRTStartup ', '_WinMainCRTStartup proc near ', 'None', 'var_1C = dword ptr -1Ch ', 'None', 'None', 'sub esp, 1Ch ']"
entry,004012A3,004012AA,"['C7', '04', '24', '02', '00', '00', '00']","['mov [esp+1Ch+var_1C], 2 ']"
entry,004012AA,004012B0,"['FF', '15', 'D0', 'D1', '41', '00']",['call ds:__imp____set_app_type ']
entry,004012B0,004012B5,"['E8', '4B', 'FD', 'FF', 'FF']","['call ___mingw_CRTStartup ', 'None', '_WinMainCRTStartup endp ', 'None', 'None']"
entry,004012B5,004012C0,"['8D', '74', '26', '00', '8D', 'BC', '27', '00', '00', '00', '00']",['align 10h ']
